Автор;Цитата;Ссылка
Макс Фрай;В жизни каждого бывают моменты, когда следует броситься в пропасть, чтобы наконец убедиться в том, что всегда умел летать... ;http://forismatic.com/ru/e1e3b4ed55/
Хадис;Если ты идешь Ему навстречу, Он бегом устремляется к тебе.;http://forismatic.com/ru/a37e7d6140/
Стефан Цвейг;Традиция — каменная граница, воздвигнутая прошлым вокруг настоящего, кто хочет проникнуть в будущее, должен перешагнуть ее. ;http://forismatic.com/ru/121e3d2372/
Лао Цзы;Для того чтобы что-то уменьшить, безусловно, следует сначала увеличить его. Для того чтобы взять, сначала, безусловно, следует дать. ;http://forismatic.com/ru/67fc9135a1/
Чжуан Цзы;Если выравнивать с помощью неровного, то и ровное станет неровным. Если доказывать с помощью недоказанного, то и доказанное станет недоказанным. ;http://forismatic.com/ru/f87c38cbbb/
Лао Цзы;Путешествие в тысячу ли начинается с одного шага. ;http://forismatic.com/ru/f30c87170c/
Чжуан Цзы;Действовать в надежде на похвалу современников, учиться самому для других, а поучать других для себя, прикрываясь милосердием и справедливостью — вот чего я не могу терпеть. ;http://forismatic.com/ru/e98aac0204/
Чжуан Цзы;Наблюдая за всеми четырьмя сторонами, останавливайся вместе с временами года. ;http://forismatic.com/ru/0d2a55cd42/
Мао Цзэдун;То, что мыслимо, то осуществимо. ;http://forismatic.com/ru/a7c920b4b0/
Марк Туллий Цицерон ;Справедливость без мудрости значит много, мудрость без справедливости не значит ничего. ;http://forismatic.com/ru/4f18eb94c9/
Ян Чжу;Люди далекой древности действовали, следуя велению своего сердца, и не шли против своих естественных желаний. Не избегали наслаждений при жизни, поэтому их и не манила слава. ;http://forismatic.com/ru/18cc9a8125/
Робин Шарма;Малые выборы ведут к грандиозным последствиям — в будущем. Незначительных дней не бывает. ;http://forismatic.com/ru/15a8c3f9f7/
Уильям Шекспир;Мы знаем, кто мы есть, но не знаем, кем мы можем быть. ;http://forismatic.com/ru/a517adc9e1/
Уильям Шекспир;Бедная мудрость частенько бывает рабой богатой глупости. ;http://forismatic.com/ru/96bfe1d034/
Артур Шопенгауэр;Средний человек озабочен тем, как бы ему убить время, человек же талантливый стремится его использовать.;http://forismatic.com/ru/b989424057/
Бернард Шоу;Многие великие истины были сначала кощунством.;http://forismatic.com/ru/c6b3cfe876/
Альберт Эйнштейн;Если в первый момент идея не кажется абсурдной, она безнадёжна.;http://forismatic.com/ru/fc6430dca1/
Альберт Эйнштейн;Здравый смысл — это сумма предубеждений, приобретённых до восемнадцатилетнего возраста. ;http://forismatic.com/ru/753e8bbb42/
Экклезиаст;Человек не выше и не ниже других: все, что существует в подлунном мире, подчинено одному и тому же закону и имеет одинаковую судьбу.;http://forismatic.com/ru/5973a08b0c/
Ральф Эмерсон;Наша величайшая слава не в том, что мы никогда не терпели поражения, а в том, что мы всегда поднимались после падения.;http://forismatic.com/ru/f5359fe6ba/
Ральф Эмерсон;"Каждый человек меня в чем-то превосходит; и в этом смысле мне есть чему у него поучиться. ";http://forismatic.com/ru/9331da6f7a/
Эпиктет;Людей мучают не вещи, а представления о них. ;http://forismatic.com/ru/39e06a19f2/
Индейская мудрость;Между прыжком и полетом лежит сомнение. Прыгни с уверенностью, и ты найдешь свои крылья.;http://forismatic.com/ru/5a095bd797/
Китайская пословица;Тот, кто мягко ступает, далеко продвинется на своем пути. ;http://forismatic.com/ru/08c3c4806a/
